A_scaled,B_scaled,C_scaled,D_scaled,E_scaled,CCS
-0.6989384014491699,2.639499151673427,-1.6816818119314956,-1.3844744384971963,0.1790217043522943,132.63
-0.16134690153401116,-0.06839739689227617,0.5296370482160002,-0.4366951683014184,0.3310620656162456,178.0184535
-0.793497478907353,2.233314669388571,1.266743334931832,-1.1949185844580408,-0.016458760129928876,125.8
-0.11416858672098483,-0.06839739689227617,0.5296370482160002,-0.4366951683014184,0.3310620656162456,171.3
-0.6339920344729956,1.9625250145319995,1.266743334931832,-1.1949185844580408,0.1790217043522943,142.9
0.4971598729937919,-1.1684803697470925,0.7139136198949567,1.4588633720901378,0.8175912216608898,206.7238787
-0.6811831201882704,1.9625250145319995,1.266743334931832,-1.1949185844580408,0.1790217043522943,147.2
0.2698181471613505,0.028313194127926086,-0.6286728309088785,0.3215282478552042,0.8175912216608898,208.9840128
-0.8054033431677473,-1.0161611888902715,1.266743334931832,-0.4366951683014184,-2.1015837146069765,122.0
0.25233374417369436,-0.29405544260608485,0.28393495264405627,-0.05758346022310711,0.6351427881441482,209.0
-0.5187789567869353,0.10084613739308082,-0.9445755252156638,-0.4366951683014184,-0.2770993794395599,150.7
1.4483629100849933,-0.8958102311762409,-1.0264762237396452,2.4066426422859157,1.0261037171085945,259.3458218
-0.8054030478321418,-1.0161611888902715,1.266743334931832,-0.4366951683014184,-2.1015837146069765,118.9858522
-0.4628333853886614,0.6085767402491498,-1.6816818119314956,-0.4366951683014184,0.1790217043522943,151.81
-0.32970953224545974,-0.49919912052772836,-0.3414885633572547,-0.05758346022310711,-0.016458760129928876,163.8
-0.7137931917294593,-0.7453715340337013,1.266743334931832,-0.4366951683014184,-1.189341547023268,134.32
-0.8260676801418132,-0.4068844654629887,-0.9445755252156638,-0.4366951683014184,-2.1015837146069765,133.0
0.024513039512391803,-1.422345671175127,1.266743334931832,1.0797516640118265,0.6351427881441482,188.5
-0.6339920344729956,1.9625250145319995,1.266743334931832,-1.1949185844580408,0.1790217043522943,140.4
